,actor,grade_avg,grade_sum,appearances,gender,year_avg,birth_year,main_genre,2nd_genre,director,2nd_director,treatment,propensity_score
90,Kelly_Royce,1.901881873,13.31317311,7,F,1972,1967,Comedy,,Henri_Pachard,Paul_Thomas,0,0.239259273
72,Phillips_Lord,2.598496005,5.196992009,2,M,2007.5,1902,Drama,,William_A._Seiter,,0,0.234037018
32,Amy_Yasbeck,4.503092763,18.01237105,4,F,1976,1962,Comedy,Drama,Mel_Brooks,Melanie_Mayron,0,0.2037118
199,Ariana_DeBose,4.171741653,12.51522496,3,F,1928,1991,Drama,Thriller,Steven_Spielberg,Sam_Zalutsky,0,0.263462214
180,Barbara_Leonard,1.984887438,7.939549753,4,F,2021,1908,Drama,,William_Dieterle,Claude_Autant-Lara,0,0.261438564
4,Sean_Kenny,1.316471151,2.632942302,2,M,2004.5,1929,Drama,Music,Henri_Pachard,Steven_Roby,0,0.161922874
257,Becky_Savage,1.215122022,29.16292854,24,F,2010,1958,Drama,Comedy,Hal_Freeman,Gerd_Wasmund,1,0.288899494
265,Lotti_Loder,1.551477476,4.654432428,3,F,1975.666667,1910,Drama,Musical,Michael_Curtiz,Lloyd_Bacon,0,0.289004055
112,Robert_F._Simon,3.213598665,16.06799333,5,M,1925.846154,1908,Drama,Fantasy,Nicholas_Ray,Harold_Young,0,0.245993166
285,Diane_Lane,4.142517457,256.8360823,62,F,2013,1965,Drama,Romance,Zack_Snyder,Tony_Goldwyn,1,0.292202068
210,Hattie_Delaro,1.947386651,5.842159953,3,F,1990,1861,Drama,Romance,Robert_Z._Leonard,Wilfrid_North,0,0.267336807
198,Rachel_Zegler,5.508067771,11.01613554,2,F,2016,2001,Drama,,Steven_Spielberg,,0,0.263462214
0,Ted_Heyck,0.658852527,0.658852527,1,M,2012,1941,Drama,,Henri_Pachard,,0,0.161922874
290,Hugh_Sothern,1.458927326,5.835709306,4,M,1927,1881,Drama,,Charles_C._Coleman,Joseph_Kane,0,0.292819264
45,Heather_Graham,3.224251705,199.9036057,62,F,2020,1970,Drama,Romance,Jay_Roach,Trent_Cooper,1,0.211303656
171,G._Pat_Collins,2.663996019,5.327992038,2,M,1989.098361,1895,Drama,Musical,Lewis_Milestone,Thornton_Freeland,0,0.260651888
291,Leona_Maricle,1.286285892,3.858857676,3,F,2012,1905,Drama,,Charles_C._Coleman,Ray_McCarey,0,0.292819264
75,Effie_Palmer,2.598496005,5.196992009,2,F,2008.891304,1890,Drama,,William_A._Seiter,,0,0.234037018
149,Patrick_McVey,3.146179239,3.146179239,1,M,2020,1910,Drama,,Elia_Kazan,,0,0.25598596
148,Patricia_Joyce,3.146179239,3.146179239,1,F,1983,1934,Drama,,Elia_Kazan,,0,0.25598596
192,Michael_Sacks,3.816807588,15.26723035,4,M,1966.25,1948,Drama,,Steven_Spielberg,Donald_Wrye,0,0.263462214
185,David_Alvarez,5.508067771,22.03227108,4,M,1981.5,1994,Drama,,Steven_Spielberg,,0,0.263462214
280,Julia_Foster,2.621198732,15.72719239,6,F,2015.125,1943,Drama,,George_Sidney,Ken_Hughes,0,0.289585327
176,Eli_Roth,5.126349303,20.50539721,4,M,1984,1972,Drama,Adventure,Quentin_Tarantino,Fruit_Chan,0,0.260667214
40,Robert_Cole,1.788210264,10.72926158,6,M,1976.555556,1920,Drama,,Anthony_Spinelli,Kendall_Stewart,0,0.208400341
