,actor,rev_sum,grade_sum,appearances,score,score_epfl
0,Dustin_Farnum,6117500.0,2.861536471788676,1.0,16.67802278277362,2.6973142737054587
1,Elmer_Clifton,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
2,Robert_Harron,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
3,Walter_Long,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
4,Violet_Wilkey,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
5,Elmo_Lincoln,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
6,Mae_Marsh,1577272727.2727273,9.184095907974903,2.0,23.39643635300511,4.447126853128962
7,Henry_B._Walthall,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
8,Lillian_Gish,1758776852.9997177,25.8517789192442,7.0,24.54026385008513,4.745037025248978
9,George_Siegmann,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
10,Josephine_Crowell,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
11,Miriam_Cooper,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
12,Ralph_Lewis,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
13,Mary_Alden,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
14,Spottiswoode_Aitken,1250000000.0,4.791714035959664,1.0,22.513297571992556,4.217113125596666
15,Burr_McIntosh,56250000.0,3.953215085343364,1.0,19.219845792544255,3.359332744386107
16,Lowell_Sherman,65766666.66666667,7.689465673019468,2.0,20.041474980075733,3.573326282136501
17,Richard_Barthelmess,56250000.0,3.953215085343364,1.0,19.219845792544255,3.359332744386107
18,John_St._Polis,84821428.57142857,9.346745567155974,2.0,20.491086979284937,3.6904278454522745
19,Mabel_Van_Buren,56250000.0,4.023418211284976,1.0,19.237448441693036,3.3639173589814626
20,Stuart_Holmes,56250000.0,4.023418211284976,1.0,19.237448441693036,3.3639173589814626
21,Josef_Swickard,56250000.0,4.023418211284976,1.0,19.237448441693036,3.3639173589814626
22,"Alan_Hale,_Sr.",349713350.0,45.65927903328256,11.0,23.493831227963543,4.472493373899397
23,Rudolph_Valentino,56250000.0,4.023418211284976,1.0,19.237448441693036,3.3639173589814626
24,Alice_Terry,65878571.428571425,7.693697037166508,2.0,20.043725205639994,3.573912353975891
25,Wallace_Beery,151350000.0,20.627621200424723,5.0,21.861736606083127,4.047413900847934
26,Bridgetta_Clark,56250000.0,4.023418211284976,1.0,19.237448441693036,3.3639173589814626
27,Claude_Gillingwater,11250000.0,4.132355936361525,1.0,17.654726375585543,2.951696981052179
28,Mary_Pickford,164650000.0,10.498731047769207,2.0,21.270586964053454,3.893448821274902
29,Arthur_Thalasso,11250000.0,4.132355936361525,1.0,17.654726375585543,2.951696981052179
30,Emmett_King,11250000.0,4.132355936361525,1.0,17.654726375585543,2.951696981052179
31,Rose_Dione,11250000.0,4.132355936361525,1.0,17.654726375585543,2.951696981052179
32,Fred_Malatesta,11250000.0,4.132355936361525,1.0,17.654726375585543,2.951696981052179
33,Kate_Price,11250000.0,4.132355936361525,1.0,17.654726375585543,2.951696981052179
34,James_A._Marcus,11250000.0,4.132355936361525,1.0,17.654726375585543,2.951696981052179
35,Colin_Kenny,11250000.0,4.132355936361525,1.0,17.654726375585543,2.951696981052179
36,Carl_Miller,31250000.0,6.079441006576765,1.0,19.062442686190277,3.318337063983384
37,Lita_Grey,31250000.0,6.079441006576765,1.0,19.062442686190277,3.318337063983384
38,Henry_Bergman,236357250.0,18.038605350058226,3.0,22.173369192470595,4.128578689844435
39,Jackie_Coogan,56608422.5,14.641076721242111,3.0,20.535499391884862,3.7019950699819217
40,Jack_Coogan_Sr.,31250000.0,6.079441006576765,1.0,19.062442686190277,3.318337063983384
41,Granville_Redmond,31250000.0,6.079441006576765,1.0,19.062442686190277,3.318337063983384
42,Tom_Wilson,31250000.0,6.079441006576765,1.0,19.062442686190277,3.318337063983384
43,Charles_Reisner,31250000.0,6.079441006576765,1.0,19.062442686190277,3.318337063983384
44,Edna_Purviance,31250000.0,6.079441006576765,1.0,19.062442686190277,3.318337063983384
45,Charlie_Chaplin,353343600.0,31.464076761817097,5.0,23.131797987381727,4.378201721276754
46,May_White,31250000.0,6.079441006576765,1.0,19.062442686190277,3.318337063983384
47,Clarence_Burton,59554142.85714285,4.913124523115177,1.0,19.49430651923765,3.4308161127595236
48,Rod_La_Rocque,71797000.0,7.754108270723256,2.0,20.137576052776065,3.5983558317689064
49,Charles_de_Rochefort,59554142.85714285,4.913124523115177,1.0,19.49430651923765,3.4308161127595236
50,Nita_Naldi,59554142.85714285,4.913124523115177,1.0,19.49430651923765,3.4308161127595236
51,Leatrice_Joy,59554142.85714285,4.913124523115177,1.0,19.49430651923765,3.4308161127595236
52,Robert_Edeson,59554142.85714285,4.913124523115177,1.0,19.49430651923765,3.4308161127595236
53,Noble_Johnson,116377476.19047618,18.75345405910251,4.0,21.50372752295526,3.954170341091395
54,Edythe_Chapman,59554142.85714285,4.913124523115177,1.0,19.49430651923765,3.4308161127595236
55,James_Neill,59554142.85714285,4.913124523115177,1.0,19.49430651923765,3.4308161127595236
56,Julia_Faye,169554142.85714287,8.942324772628684,2.0,21.139478457726177,3.859301576357232
57,Estelle_Taylor,82604142.85714285,8.684784295633703,2.0,20.391142955846828,3.6643973982905984
58,Theodore_Roberts,59554142.85714285,4.913124523115177,1.0,19.49430651923765,3.4308161127595236
59,Richard_Dix,114487476.19047618,15.100992265711524,5.0,21.27073645135012,3.8934877552805927
60,J._Warren_Kerrigan,49999999.99999999,2.938256453654835,1.0,18.805349925848923,3.2513771870092563
61,Warner_Oland,105714285.7142857,6.922810151379048,2.0,20.41107237354377,3.6695880203656093
62,Lois_Wilson,49999999.99999999,2.938256453654835,1.0,18.805349925848923,3.2513771870092563
63,Sylvia_Ashton,3926100.0,4.65529241390193,1.0,16.72116185063255,2.708549855262782
64,Dale_Fuller,157326100.0,11.021667525309612,2.0,21.2736943896121,3.8942581510780325
65,Joan_Standing,3926100.0,4.65529241390193,1.0,16.72116185063255,2.708549855262782
66,Jack_Curtis,3926100.0,4.65529241390193,1.0,16.72116185063255,2.708549855262782
67,Lon_Poff,3926100.0,4.65529241390193,1.0,16.72116185063255,2.708549855262782
68,Chester_Conklin,148319050.0,11.093258362665242,2.0,21.221213823780044,3.880589573919417
69,Tempe_Pigott,82959433.33333333,11.405042558706256,3.0,20.6679178785737,3.7364834996289176
70,Jean_Hersholt,95195796.96969698,20.786759072645474,5.0,21.40576255026537,3.928655338217027
71,Gibson_Gowland,32497528.571428567,9.978619769772926,2.0,19.59711938158958,3.4575937497700036
72,ZaSu_Pitts,24954473.80952381,9.706397614590855,3.0,19.30534889108964,3.381602048865564
73,Jason_London,138950325.92518753,29.834316563002588,7.0,22.145286353268006,4.1212645069962175
74,Aileen_Pringle,8500000.0,1.4540580756394446,1.0,16.329935041754574,2.6066547301076906
75,Harold_Lloyd,78785714.28571428,13.34966148694086,3.0,20.773733275343833,3.764043147517443
76,Jobyna_Ralston,59285714.28571428,8.864672752265227,2.0,20.07995295340638,3.5833478803993732
77,Conway_Tearle,19011904.76190476,6.098861119532081,2.0,18.56867795936825,3.189735911161079
78,Georgia_Hale,60714299.99999999,5.52119839471815,1.0,19.63028475034599,3.4662316787757925
79,Mack_Swain,60714299.99999999,5.52119839471815,1.0,19.63028475034599,3.4662316787757925
80,Malcolm_Waite,60714299.99999999,5.52119839471815,1.0,19.63028475034599,3.4662316787757925
81,Tom_Murray,60714299.99999999,5.52119839471815,1.0,19.63028475034599,3.4662316787757925
82,Charles_Belcher,153400000.0,6.366375111407682,1.0,20.69958969821359,3.7447324333749243
83,Nigel_De_Brulier,153400000.0,6.366375111407682,1.0,20.69958969821359,3.7447324333749243
84,Carmel_Myers,153400000.0,6.366375111407682,1.0,20.69958969821359,3.7447324333749243
85,Leo_White,153400000.0,6.366375111407682,1.0,20.69958969821359,3.7447324333749243
86,Mitchell_Lewis,171916666.66666666,10.965991316721214,2.0,21.357319206392592,3.916038256578362
87,Claire_McDowell,153400000.0,6.366375111407682,1.0,20.69958969821359,3.7447324333749243
88,Kathleen_Key,153400000.0,6.366375111407682,1.0,20.69958969821359,3.7447324333749243
89,Carole_Lombard,231016666.6666667,21.23109698178557,5.0,22.31346736163985,4.165067294811057
90,Gary_Cooper,606460606.060606,56.225159053804155,13.0,24.25251465805155,4.670092672586574
91,May_McAvoy,209114285.7142857,10.350928809131894,2.0,21.495467737773815,3.952019077870883
92,Francis_X._Bushman,189763636.36363637,11.665923927788825,2.0,21.517961944014175,3.957877699795846
93,Betty_Bronson,224828571.4285714,8.716031684294816,2.0,21.396012817273174,3.9261160176977667
94,Ramón_Novarro,160983333.33333334,9.593516944826163,2.0,21.157898950017906,3.8640991984140305
95,Bruce_Covington,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
96,Ward_Crane,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
97,Madame_Fiorenza,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
98,William_J._Humphrey,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
99,Edward_Cecil,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
100,Earl_Gordon_Bostwick,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
101,Snitz_Edwards,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
102,"Lon_Chaney,_Sr.",41121428.57142857,8.965682142874924,2.0,19.725444113749813,3.4910159599745167
103,Mary_Philbin,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
104,Norman_Kerry,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
105,Arthur_Edmund_Carewe,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
106,Virginia_Pearson,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
107,Olive_Ann_Alcorn,28571428.571428567,5.3233273558709975,1.0,18.84001632613559,3.2604060600714497
108,Jim_Farley,14285714.285714284,5.941762191628028,1.0,18.256776349532412,3.108501054936771
109,Frederick_Vroom,14285714.285714284,5.941762191628028,1.0,18.256776349532412,3.108501054936771
110,Glen_Cavender,14285714.285714284,5.941762191628028,1.0,18.256776349532412,3.108501054936771
111,Marion_Mack,14285714.285714284,5.941762191628028,1.0,18.256776349532412,3.108501054936771
112,Frank_Barnes,14285714.285714284,5.941762191628028,1.0,18.256776349532412,3.108501054936771
113,Charles_Henry_Smith,14285714.285714284,5.941762191628028,1.0,18.256776349532412,3.108501054936771
