Year,CF
1774.00,0.03
1775.00,0.03
1776.00,0.04
1777.00,0.04
1778.00,0.06
1779.00,0.05
1780.00,0.06
1781.00,0.05
1782.00,0.05
1783.00,0.04
1784.00,0.04
1785.00,0.04
1786.00,0.04
1787.00,0.04
1788.00,0.04
1789.00,0.04
1790.00,0.04
1791.00,0.04
1792.00,0.04
1793.00,0.04
1794.00,0.05
1795.00,0.05
1796.00,0.06
1797.00,0.05
1798.00,0.05
1799.00,0.05
1800.00,0.05
1801.00,0.05
1802.00,0.05
1803.00,0.05
1804.00,0.05
1805.00,0.05
1806.00,0.05
1807.00,0.05
1808.00,0.05
1809.00,0.05
1810.00,0.05
1811.00,0.06
1812.00,0.06
1813.00,0.07
1814.00,0.07
1815.00,0.06
1816.00,0.06
1817.00,0.06
1818.00,0.05
1819.00,0.05
1820.00,0.05
1821.00,0.05
1822.00,0.05
1823.00,0.04
1824.00,0.04
1825.00,0.04
1826.00,0.04
1827.00,0.04
1828.00,0.04
1829.00,0.04
1830.00,0.04
1831.00,0.04
1832.00,0.04
1833.00,0.04
1834.00,0.04
1835.00,0.04
1836.00,0.04
1837.00,0.04
1838.00,0.04
1839.00,0.04
1840.00,0.04
1841.00,0.04
1842.00,0.03
1843.00,0.03
1844.00,0.03
1845.00,0.03
1846.00,0.03
1847.00,0.03
1848.00,0.03
1849.00,0.03
1850.00,0.03
1851.00,0.03
1852.00,0.03
1853.00,0.03
1854.00,0.04
1855.00,0.04
1856.00,0.04
1857.00,0.04
1858.00,0.03
1859.00,0.04
1860.00,0.04
1861.00,0.04
1862.00,0.04
1863.00,0.05
1864.00,0.07
1865.00,0.07
1866.00,0.07
1867.00,0.06
1868.00,0.06
1869.00,0.06
1870.00,0.06
1871.00,0.05
1872.00,0.05
1873.00,0.05
1874.00,0.05
1875.00,0.05
1876.00,0.05
1877.00,0.04
1878.00,0.04
1879.00,0.04
1880.00,0.04
1881.00,0.04
1882.00,0.04
1883.00,0.04
1884.00,0.04
1885.00,0.04
1886.00,0.04
1887.00,0.04
1888.00,0.04
1889.00,0.04
1890.00,0.04
1891.00,0.04
1892.00,0.04
1893.00,0.04
1894.00,0.04
1895.00,0.04
1896.00,0.04
1897.00,0.04
1898.00,0.04
1899.00,0.04
1900.00,0.04
1901.00,0.04
1902.00,0.04
1903.00,0.04
1904.00,0.04
1905.00,0.04
1906.00,0.04
1907.00,0.04
1908.00,0.04
1909.00,0.04
1910.00,0.04
1911.00,0.04
1912.00,0.04
1913.00,0.04
1914.00,0.04
1915.00,0.04
1916.00,0.05
1917.00,0.05
1918.00,0.06
1919.00,0.07
1920.00,0.08
1921.00,0.08
1922.00,0.07
1923.00,0.07
1924.00,0.07
1925.00,0.07
1926.00,0.07
1927.00,0.07
1928.00,0.07
1929.00,0.07
1930.00,0.07
1931.00,0.06
1932.00,0.06
1933.00,0.05
1934.00,0.06
1935.00,0.06
1936.00,0.06
1937.00,0.06
1938.00,0.06
1939.00,0.06
1940.00,0.06
1941.00,0.06
1942.00,0.07
1943.00,0.07
1944.00,0.07
1945.00,0.08
1946.00,0.08
1947.00,0.09
1948.00,0.10
1949.00,0.10
1950.00,0.10
1951.00,0.11
1952.00,0.11
1953.00,0.11
1954.00,0.11
1955.00,0.11
1956.00,0.11
1957.00,0.12
1958.00,0.12
1959.00,0.12
1960.00,0.12
1961.00,0.13
1962.00,0.13
1963.00,0.13
1964.00,0.13
1965.00,0.13
1966.00,0.14
1967.00,0.14
1968.00,0.15
1969.00,0.15
1970.00,0.16
1971.00,0.17
1972.00,0.17
1973.00,0.19
1974.00,0.21
1975.00,0.22
1976.00,0.24
1977.00,0.25
1978.00,0.27
1979.00,0.30
1980.00,0.34
1981.00,0.38
1982.00,0.40
1983.00,0.42
1984.00,0.43
1985.00,0.45
1986.00,0.46
1987.00,0.47
1988.00,0.49
1989.00,0.52
1990.00,0.55
1991.00,0.57
1992.00,0.59
1993.00,0.60
1994.00,0.62
1995.00,0.64
1996.00,0.65
1997.00,0.67
1998.00,0.68
1999.00,0.69
2000.00,0.72
2001.00,0.74
2002.00,0.75
2003.00,0.77
2004.00,0.79
2005.00,0.81
2006.00,0.84
2007.00,0.86
2008.00,0.90
2009.00,0.89
2010.00,0.91
2011.00,0.94
2012.00,0.96
2013.00,0.97
2014.00,0.99
2015.00,0.99
2016.00,1.00
2017.00,1.03
2018.00,1.05
2019.00,1.07
2020.00,1.10
2021.00,1.12
2022.00,1.15
2023.00,1.18
2024.00,1.20
2025.00,1.23
2026.00,1.26
2027.00,1.29
