,actor,rev_sum,grade_sum,appearances,score,score_epfl,gender,cluster
0,Dustin_Farnum,6117500.0,2.861536471788676,1.0,16.67802278277362,3.278701633330292,M,2
1,Elmer_Clifton,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,M,0
2,Robert_Harron,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,M,0
3,Walter_Long,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,M,0
4,Violet_Wilkey,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,F,0
5,Elmo_Lincoln,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,M,0
6,Mae_Marsh,788636363.6363636,4.592047953987452,2.0,22.01014199188522,5.143147808868123,F,0
7,Henry_B._Walthall,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,M,0
8,Lillian_Gish,251253836.1428168,3.6931112741777428,7.0,20.648443551974502,4.6670118957420605,F,1
9,George_Siegmann,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,M,0
10,Josephine_Crowell,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,F,0
11,Miriam_Cooper,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,F,0
12,Ralph_Lewis,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,M,0
13,Mary_Alden,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,F,0
14,Spottiswoode_Aitken,1250000000.0,4.791714035959664,1.0,22.513297571992556,5.319082828368172,M,0
15,Burr_McIntosh,56250000.0,3.953215085343364,1.0,19.219845792544255,4.167483748584335,M,2
16,Lowell_Sherman,32883333.333333336,3.844732836509734,2.0,18.655180618955843,3.970041084219797,M,2
17,Richard_Barthelmess,56250000.0,3.953215085343364,1.0,19.219845792544255,4.167483748584335,M,2
18,John_St._Polis,42410714.28571428,4.673372783577987,2.0,19.104792618165046,4.127253880769629,M,0
19,Mabel_Van_Buren,56250000.0,4.023418211284976,1.0,19.237448441693036,4.173638748237886,F,2
20,Stuart_Holmes,56250000.0,4.023418211284976,1.0,19.237448441693036,4.173638748237886,M,2
21,Josef_Swickard,56250000.0,4.023418211284976,1.0,19.237448441693036,4.173638748237886,M,2
22,"Alan_Hale,_Sr.",31792122.727272727,4.150843548480234,11.0,18.698040682366802,3.9850276736368757,M,1
23,Rudolph_Valentino,56250000.0,4.023418211284976,1.0,19.237448441693036,4.173638748237886,M,2
24,Alice_Terry,32939285.714285713,3.846848518583254,2.0,18.657430844520103,3.9708279054221842,F,2
25,Wallace_Beery,30270000.0,4.125524240084944,5.0,18.642860781214928,3.965733289615347,M,1
26,Bridgetta_Clark,56250000.0,4.023418211284976,1.0,19.237448441693036,4.173638748237886,F,2
27,Claude_Gillingwater,11250000.0,4.132355936361525,1.0,17.654726375585543,3.6202189938462532,M,2
28,Mary_Pickford,82325000.0,5.249365523884603,2.0,19.884292602933563,4.399816385176879,F,0
29,Arthur_Thalasso,11250000.0,4.132355936361525,1.0,17.654726375585543,3.6202189938462532,M,2
30,Emmett_King,11250000.0,4.132355936361525,1.0,17.654726375585543,3.6202189938462532,M,2
31,Rose_Dione,11250000.0,4.132355936361525,1.0,17.654726375585543,3.6202189938462532,F,2
32,Fred_Malatesta,11250000.0,4.132355936361525,1.0,17.654726375585543,3.6202189938462532,M,2
33,Kate_Price,11250000.0,4.132355936361525,1.0,17.654726375585543,3.6202189938462532,F,2
34,James_A._Marcus,11250000.0,4.132355936361525,1.0,17.654726375585543,3.6202189938462532,M,2
35,Colin_Kenny,11250000.0,4.132355936361525,1.0,17.654726375585543,3.6202189938462532,M,2
36,Carl_Miller,31250000.0,6.079441006576765,1.0,19.062442686190277,4.1124456655726185,M,0
37,Lita_Grey,31250000.0,6.079441006576765,1.0,19.062442686190277,4.1124456655726185,F,0
38,Henry_Bergman,78785750.0,6.0128684500194085,3.0,19.976144615134377,4.431933659031264,M,0
39,Jackie_Coogan,18869474.166666668,4.880358907080704,3.0,18.338274814548644,3.8592307681220097,M,1
40,Jack_Coogan_Sr.,31250000.0,6.079441006576765,1.0,19.062442686190277,4.1124456655726185,M,0
41,Granville_Redmond,31250000.0,6.079441006576765,1.0,19.062442686190277,4.1124456655726185,M,0
42,Tom_Wilson,31250000.0,6.079441006576765,1.0,19.062442686190277,4.1124456655726185,M,0
43,Charles_Reisner,31250000.0,6.079441006576765,1.0,19.062442686190277,4.1124456655726185,M,0
44,Edna_Purviance,31250000.0,6.079441006576765,1.0,19.062442686190277,4.1124456655726185,F,0
45,Charlie_Chaplin,70668720.0,6.292815352363419,5.0,19.912922162513524,4.4098270902592,M,1
46,May_White,31250000.0,6.079441006576765,1.0,19.062442686190277,4.1124456655726185,F,0
